risk_aversion,kappa,base_qty,overlay_p_market,join_best,improve_best,imbalance_sensitivity,imbalance_level,inv_penalty_lambda,mtm_mean,mtm_std,mtm_abs_mean,inv_mean,inv_abs_mean,spread_mean,sharpe_event_mean,sharpe_event_adj_mean,sharpe_event_pooled,sharpe_event_adj_pooled,fills_mean,filled_qty_mean,delta_count
0.1,0.2,2,0.02,False,True,0.5,1,0.1,4760.75,1116.6319211012294,4760.75,7.5,7.9,1.8,13.083766866850056,9.023118937029947,40.95459440697148,27.68647428531009,253.0,405.7,49725.0
0.1,0.01,2,0.05,False,True,0.5,1,0.1,5381.45,1759.300736245954,5381.45,7.6,8.0,2.1,12.69053608952576,9.01949455405065,40.49729699062454,28.47007689114073,635.0,1035.6,49240.2
0.1,0.01,2,0.05,False,True,1.0,1,0.1,5381.45,1759.300736245954,5381.45,7.6,8.0,2.1,12.69053608952576,9.01949455405065,40.49729699062454,28.47007689114073,635.0,1035.6,49240.2
0.2,0.5,1,0.05,False,True,0.5,1,0.1,11200.45,1837.4805282415011,11200.45,22.4,22.4,1.8,14.798038280756566,8.954761842807734,46.40030360078768,28.087840228020028,573.3,608.8,49361.7
0.1,0.5,2,0.05,False,True,0.0,1,0.1,4651.0,1574.438506614695,4651.0,5.6,7.0,1.9,12.61811337138721,8.941792802355106,40.39332707295631,28.314472804308043,645.7,1064.4,49239.3
0.2,0.5,2,0.05,False,True,0.0,1,0.1,4651.0,1574.438506614695,4651.0,5.6,7.0,1.9,12.61811337138721,8.941792802355106,40.39332707295631,28.314472804308043,645.7,1064.4,49239.3
0.3,0.5,2,0.05,False,True,0.0,1,0.1,4651.0,1574.438506614695,4651.0,5.6,7.0,1.9,12.61811337138721,8.941792802355106,40.39332707295631,28.314472804308043,645.7,1064.4,49239.3
0.1,0.1,1,0.05,False,True,0.5,1,0.1,11972.95,1961.290695350046,11972.95,24.5,24.5,2.0,14.992314503635917,8.883743885004932,47.20754622826903,28.117123619112842,558.0,598.1,49401.1
0.2,0.1,1,0.05,False,True,1.0,1,0.1,11576.5,1879.2928043400912,11576.5,24.0,24.0,2.3,15.053970581911837,8.877507416365782,47.30861685920288,28.016663396318645,551.7,593.8,49291.4
0.1,0.1,2,0.02,False,True,0.0,1,0.1,5171.75,1029.17068150364,5171.75,9.7,9.9,1.7,13.843502213917949,8.864226207780384,43.761263834450105,27.517302826066448,252.4,404.5,49658.9
0.3,0.05,2,0.02,False,True,0.0,1,0.1,5171.75,1029.17068150364,5171.75,9.7,9.9,1.7,13.843502213917949,8.864226207780384,43.761263834450105,27.517302826066448,252.4,404.5,49658.9
0.3,0.05,2,0.02,False,True,0.5,1,0.1,5171.75,1029.17068150364,5171.75,9.7,9.9,1.7,13.843502213917949,8.864226207780384,43.761263834450105,27.517302826066448,252.4,404.5,49658.9
0.2,0.2,2,0.05,False,True,0.0,1,0.1,5017.3,1240.9586616805573,5017.3,8.5,8.5,2.0,12.85264529944064,8.847831064040617,40.46865752264833,27.333759552816048,623.0,1026.3,49126.9
0.3,0.2,2,0.05,False,True,0.0,1,0.1,5017.3,1240.9586616805573,5017.3,8.5,8.5,2.0,12.85264529944064,8.847831064040617,40.46865752264833,27.333759552816048,623.0,1026.3,49126.9
0.3,0.01,2,0.05,False,True,0.5,1,0.1,4806.05,1437.2174205348645,4806.05,8.3,8.5,1.9,12.640422572977112,8.82077097170037,39.809195185340954,26.649077140798447,622.1,1020.7,49195.7
0.3,0.1,1,0.05,False,True,0.5,1,0.1,11615.0,1789.7242493995798,11615.0,24.7,24.7,2.1,15.086909854779174,8.813458868278522,47.012049815695455,27.62754203445553,563.2,598.7,49255.1
0.3,0.1,1,0.05,False,True,1.0,1,0.1,11751.25,1758.9862808194698,11751.25,23.3,23.3,2.1,14.36388921538285,8.809622835215142,45.06370392112417,27.69834416580304,557.5,597.3,49233.7
0.2,0.05,1,0.05,False,True,1.0,1,0.1,11528.35,3182.4254905304188,11528.35,22.7,22.7,2.1,14.416289477159976,8.807356935420751,45.64623538206381,27.980550006526457,564.0,599.9,49342.5
0.2,0.05,1,0.05,False,True,0.5,1,0.1,11377.0,3094.2414974342973,11377.0,22.7,22.7,2.2,14.428518923048287,8.781345412733575,45.842640992954514,27.908582929064803,563.5,600.7,49356.7
0.1,0.5,1,0.05,False,True,0.0,1,0.1,11145.15,2040.6735686750314,11145.15,23.1,23.1,2.2,14.525441556491929,8.724954983318513,45.80759203777157,27.47552465108212,577.1,608.3,49386.0
0.2,0.5,1,0.05,False,True,0.0,1,0.1,11145.15,2040.6735686750314,11145.15,23.1,23.1,2.2,14.525441556491929,8.724954983318513,45.80759203777157,27.47552465108212,577.1,608.3,49386.0
